epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.128,0.99801,1.64513,1.17265,0.78568,0.75756,0.81005,0.55571,0.95546,1.11503,1.105,0.00333098,0.00333098,0.00333098
2,604.457,1.14098,1.36008,1.25711,0.76117,0.6986,0.7441,0.47716,1.12876,1.11108,1.22374,0.00659833,0.00659833,0.00659833
3,907.411,1.31021,1.45003,1.36949,0.6677,0.63654,0.63953,0.36864,1.35576,1.34944,1.40181,0.00979969,0.00979969,0.00979969
4,1223.43,1.39511,1.50208,1.43802,0.69149,0.60861,0.6556,0.39002,1.31809,1.29578,1.3816,0.009703,0.009703,0.009703
5,1520.39,1.34605,1.41528,1.40692,0.71896,0.64301,0.70369,0.4382,1.24346,1.20194,1.33711,0.009604,0.009604,0.009604
6,1830.58,1.29884,1.34925,1.37178,0.76332,0.66427,0.73526,0.47463,1.18058,1.11087,1.30124,0.009505,0.009505,0.009505
7,2134.77,1.24641,1.27939,1.34004,0.76936,0.673,0.74942,0.49892,1.10672,1.0521,1.23175,0.009406,0.009406,0.009406
8,2430.54,1.22431,1.23752,1.32853,0.77255,0.70869,0.76409,0.51433,1.07637,1.00319,1.21281,0.009307,0.009307,0.009307
9,2733.09,1.20196,1.21112,1.31599,0.78467,0.70675,0.77827,0.52335,1.08226,0.98788,1.21715,0.009208,0.009208,0.009208
10,3028.99,1.18654,1.18263,1.30042,0.80539,0.70796,0.78165,0.53061,1.04433,0.95384,1.19311,0.009109,0.009109,0.009109
11,3329.37,1.16915,1.16134,1.29236,0.7907,0.70403,0.77909,0.53444,1.03542,0.93312,1.18662,0.00901,0.00901,0.00901
12,3627.6,1.15924,1.14959,1.28502,0.80785,0.71412,0.79621,0.55513,1.01578,0.91126,1.17747,0.008911,0.008911,0.008911
13,3924.08,1.1359,1.12438,1.26975,0.7936,0.72459,0.79498,0.54586,1.02336,0.92266,1.16712,0.008812,0.008812,0.008812
14,4221.9,1.12962,1.11425,1.27108,0.81713,0.72847,0.80367,0.56432,0.98981,0.8682,1.15743,0.008713,0.008713,0.008713
15,4522.82,1.11161,1.09239,1.25658,0.79567,0.72731,0.80656,0.56552,0.96999,0.86933,1.13976,0.008614,0.008614,0.008614
16,4819,1.09762,1.07692,1.24958,0.78944,0.74593,0.80597,0.57176,0.96126,0.86383,1.13426,0.008515,0.008515,0.008515
17,5127.59,1.09247,1.06629,1.24232,0.79748,0.74825,0.81674,0.58283,0.9424,0.82551,1.12015,0.008416,0.008416,0.008416
18,5427.48,1.09059,1.05529,1.24274,0.79928,0.75485,0.81718,0.5872,0.93585,0.8286,1.11923,0.008317,0.008317,0.008317
19,5734.25,1.07412,1.03962,1.22819,0.80435,0.76228,0.82321,0.59074,0.93858,0.80588,1.11578,0.008218,0.008218,0.008218
20,6033.5,1.06603,1.02549,1.22638,0.8107,0.74588,0.82326,0.59853,0.91505,0.79883,1.10504,0.008119,0.008119,0.008119
21,6332.45,1.0617,1.02363,1.22845,0.81289,0.76675,0.83068,0.60303,0.91512,0.78368,1.10103,0.00802,0.00802,0.00802
22,6637.85,1.05528,1.00575,1.21895,0.81534,0.76416,0.83326,0.60639,0.90299,0.77289,1.09434,0.007921,0.007921,0.007921
23,6935.09,1.04463,0.99252,1.21272,0.82031,0.76261,0.8312,0.60532,0.90208,0.76735,1.09381,0.007822,0.007822,0.007822
24,7242.57,1.04727,0.99995,1.21383,0.84409,0.74631,0.83717,0.61005,0.89125,0.76868,1.08304,0.007723,0.007723,0.007723
