epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9468.12,0.83692,0.54399,0.92238,0.94741,0.87431,0.93773,0.74676,0.69851,0.43642,0.86629,0.0011882,0.0011882,0.0011882
43,9697.5,0.83005,0.53884,0.92247,0.9517,0.85743,0.9347,0.74193,0.68618,0.4317,0.86602,0.0011684,0.0011684,0.0011684
44,9926.59,0.83051,0.5423,0.92267,0.94225,0.85794,0.93073,0.74795,0.67396,0.4218,0.8637,0.0011486,0.0011486,0.0011486
45,10153.8,0.8309,0.53979,0.92114,0.9561,0.85642,0.934,0.75087,0.67634,0.42325,0.86496,0.0011288,0.0011288,0.0011288
46,10381.1,0.81901,0.5323,0.91895,0.95545,0.87058,0.93069,0.75347,0.65488,0.40964,0.86028,0.001109,0.001109,0.001109
47,10616.6,0.82232,0.52626,0.91826,0.94354,0.86185,0.9374,0.75437,0.67172,0.41562,0.86394,0.0010892,0.0010892,0.0010892
48,10841.7,0.8141,0.51907,0.91638,0.93784,0.89181,0.9379,0.74691,0.67195,0.40971,0.86611,0.0010694,0.0010694,0.0010694
49,11068.1,0.80917,0.52015,0.91439,0.94044,0.87815,0.93695,0.75069,0.68113,0.41383,0.86637,0.0010496,0.0010496,0.0010496
50,11293.8,0.80825,0.52434,0.91571,0.96122,0.86957,0.93758,0.75068,0.67775,0.40787,0.86423,0.0010298,0.0010298,0.0010298
51,11524,0.81255,0.52462,0.91057,0.9417,0.88192,0.93869,0.75482,0.67339,0.41678,0.86476,0.00101,0.00101,0.00101
52,11752.7,0.82061,0.52501,0.91537,0.95051,0.87563,0.93987,0.75823,0.66128,0.40506,0.86135,0.0009902,0.0009902,0.0009902
53,11980.4,0.79878,0.50513,0.90558,0.95448,0.86921,0.93734,0.75739,0.67176,0.40463,0.85931,0.0009704,0.0009704,0.0009704
54,12209.4,0.80714,0.51327,0.91644,0.95852,0.86451,0.93834,0.75855,0.65608,0.39992,0.85651,0.0009506,0.0009506,0.0009506
55,12443.6,0.78101,0.49927,0.90123,0.96033,0.88123,0.94245,0.75898,0.65861,0.39738,0.85646,0.0009308,0.0009308,0.0009308
56,12672.3,0.78992,0.50505,0.91135,0.96032,0.8635,0.94099,0.75605,0.67018,0.40516,0.86135,0.000911,0.000911,0.000911
57,12906.9,0.79335,0.50344,0.90669,0.96595,0.86049,0.94047,0.75766,0.65918,0.39789,0.86107,0.0008912,0.0008912,0.0008912
58,13135,0.77862,0.4905,0.90828,0.95288,0.8793,0.94047,0.76416,0.65022,0.39187,0.8584,0.0008714,0.0008714,0.0008714
59,13363.3,0.77559,0.48983,0.90329,0.93602,0.88761,0.9406,0.76367,0.64933,0.39643,0.85446,0.0008516,0.0008516,0.0008516
60,13590.7,0.78198,0.49259,0.90467,0.95581,0.87361,0.93905,0.76326,0.63911,0.38375,0.85571,0.0008318,0.0008318,0.0008318
61,13824,0.77116,0.48899,0.9054,0.95366,0.87387,0.94097,0.76233,0.64749,0.3906,0.85491,0.000812,0.000812,0.000812
62,14051.8,0.76507,0.48205,0.89945,0.94373,0.88574,0.94484,0.76318,0.64366,0.38363,0.85406,0.0007922,0.0007922,0.0007922
63,14279.1,0.77324,0.48445,0.89637,0.94807,0.89687,0.94674,0.76457,0.63405,0.38864,0.8518,0.0007724,0.0007724,0.0007724
64,14508.1,0.77052,0.488,0.89952,0.94498,0.88574,0.94486,0.7639,0.63586,0.38601,0.8534,0.0007526,0.0007526,0.0007526
65,14744.5,0.76062,0.47458,0.8931,0.93644,0.8999,0.94178,0.76957,0.63297,0.38433,0.85045,0.0007328,0.0007328,0.0007328
66,14970.9,0.76639,0.47898,0.89834,0.93829,0.89169,0.94882,0.76949,0.63,0.38337,0.85655,0.000713,0.000713,0.000713
67,15197.3,0.75355,0.47268,0.8934,0.94222,0.89788,0.9454,0.76955,0.62749,0.3811,0.85046,0.0006932,0.0006932,0.0006932
68,15426.8,0.7674,0.47351,0.89778,0.94149,0.88675,0.94331,0.77222,0.62661,0.37888,0.85196,0.0006734,0.0006734,0.0006734
69,15656.7,0.75848,0.46937,0.89526,0.94728,0.89025,0.94598,0.76903,0.62863,0.38632,0.8503,0.0006536,0.0006536,0.0006536
70,15883.7,0.74412,0.46055,0.89313,0.94038,0.89687,0.94871,0.77337,0.62334,0.37278,0.85225,0.0006338,0.0006338,0.0006338
71,16111.1,0.7474,0.46443,0.89364,0.94065,0.89743,0.94908,0.77656,0.62832,0.37169,0.8517,0.000614,0.000614,0.000614
72,16345.7,0.73844,0.45829,0.88951,0.93461,0.90192,0.94711,0.77103,0.63418,0.37625,0.85422,0.0005942,0.0005942,0.0005942
73,16572.7,0.73708,0.45002,0.89038,0.94321,0.89004,0.9485,0.77554,0.63468,0.36998,0.85415,0.0005744,0.0005744,0.0005744
74,16798.9,0.7365,0.45166,0.88741,0.94206,0.8908,0.94866,0.77945,0.62778,0.37301,0.84972,0.0005546,0.0005546,0.0005546
75,17025.4,0.7328,0.45258,0.89176,0.93144,0.89687,0.94556,0.77728,0.61882,0.36272,0.84792,0.0005348,0.0005348,0.0005348
76,17255,0.73852,0.45073,0.89244,0.95694,0.8817,0.94795,0.77788,0.62609,0.36983,0.85,0.000515,0.000515,0.000515
