epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,482.569,1.00014,1.58674,1.17327,0.81576,0.74451,0.80095,0.53976,0.99162,1.06866,1.10302,0.0033317,0.0033317,0.0033317
2,1078.59,1.13689,1.30837,1.24658,0.72389,0.68464,0.73315,0.46626,1.13832,1.18823,1.22002,0.00659905,0.00659905,0.00659905
3,1649.76,1.28536,1.38678,1.35267,0.70782,0.627,0.67487,0.40906,1.29764,1.3182,1.33365,0.0098004,0.0098004,0.0098004
4,2166.16,1.37547,1.45286,1.4192,0.68711,0.64844,0.67984,0.41967,1.25451,1.21679,1.30843,0.009703,0.009703,0.009703
5,2609.05,1.30581,1.33724,1.3779,0.77268,0.67373,0.74483,0.48112,1.15601,1.08853,1.25363,0.009604,0.009604,0.009604
6,3053.52,1.24705,1.26995,1.34231,0.78498,0.70509,0.76221,0.50039,1.13369,1.02586,1.23575,0.009505,0.009505,0.009505
7,3502.52,1.2159,1.2212,1.32246,0.76606,0.71142,0.76824,0.51133,1.08469,0.99951,1.20651,0.009406,0.009406,0.009406
8,3936.79,1.1907,1.18363,1.30626,0.78836,0.70509,0.77566,0.51896,1.07783,0.97619,1.18764,0.009307,0.009307,0.009307
9,4377,1.16378,1.15011,1.28928,0.81252,0.73335,0.80097,0.5496,1.04068,0.90813,1.16716,0.009208,0.009208,0.009208
10,4851.87,1.14214,1.1272,1.27763,0.82583,0.71551,0.79883,0.54816,1.03256,0.90753,1.17751,0.009109,0.009109,0.009109
11,5313.62,1.12546,1.09942,1.26337,0.80038,0.75009,0.80688,0.55345,1.00922,0.86685,1.15722,0.00901,0.00901,0.00901
12,5753.23,1.10464,1.0748,1.25158,0.81736,0.74229,0.80643,0.5645,0.98631,0.85498,1.13622,0.008911,0.008911,0.008911
13,6201.51,1.09925,1.06452,1.24467,0.84065,0.74157,0.82762,0.58064,0.98202,0.83032,1.13207,0.008812,0.008812,0.008812
14,6641.01,1.0901,1.04876,1.23989,0.84081,0.75035,0.82238,0.57959,0.97686,0.82254,1.12622,0.008713,0.008713,0.008713
15,7087.79,1.07537,1.03507,1.23051,0.80382,0.77055,0.82187,0.59039,0.93353,0.8098,1.10083,0.008614,0.008614,0.008614
16,7530.16,1.06635,1.02159,1.22267,0.81962,0.75902,0.82703,0.59123,0.94348,0.79662,1.11571,0.008515,0.008515,0.008515
17,7977.16,1.06083,1.0184,1.22317,0.83132,0.76162,0.82941,0.59591,0.93117,0.7838,1.10148,0.008416,0.008416,0.008416
18,8428.44,1.04739,0.99623,1.21341,0.8211,0.7672,0.8348,0.59442,0.93731,0.77703,1.10582,0.008317,0.008317,0.008317
19,8931.37,1.04397,0.98574,1.2106,0.81653,0.76463,0.83028,0.59366,0.91192,0.76692,1.10075,0.008218,0.008218,0.008218
20,9506.06,1.03556,0.97779,1.20458,0.84359,0.76832,0.84175,0.61343,0.89753,0.75547,1.08243,0.008119,0.008119,0.008119
21,9942.75,1.0277,0.97243,1.20444,0.84917,0.76629,0.84263,0.61351,0.89637,0.75231,1.08204,0.00802,0.00802,0.00802
22,10393.7,1.02301,0.95959,1.19179,0.82479,0.77389,0.83691,0.6081,0.89387,0.74639,1.07258,0.007921,0.007921,0.007921
23,10843.5,1.01962,0.9632,1.197,0.83746,0.77602,0.8484,0.62074,0.87565,0.73679,1.0657,0.007822,0.007822,0.007822
24,11289.8,1.01511,0.95152,1.19209,0.83978,0.77576,0.84581,0.62165,0.88008,0.72938,1.07129,0.007723,0.007723,0.007723
25,11738,1.00321,0.93455,1.18131,0.81903,0.78265,0.84481,0.62134,0.87613,0.72611,1.06946,0.007624,0.007624,0.007624
26,12184,0.99665,0.92449,1.18171,0.82722,0.79586,0.85255,0.63131,0.87359,0.71136,1.0668,0.007525,0.007525,0.007525
27,12635.7,0.99828,0.93143,1.17916,0.84751,0.77299,0.85766,0.635,0.86344,0.69931,1.06184,0.007426,0.007426,0.007426
28,13081.9,0.99196,0.92105,1.17714,0.84797,0.78133,0.85781,0.64126,0.84745,0.70276,1.04559,0.007327,0.007327,0.007327
29,13535.3,0.98474,0.91764,1.17348,0.83754,0.79249,0.85523,0.63336,0.85648,0.7,1.05695,0.007228,0.007228,0.007228
30,13996.3,0.97984,0.90107,1.16897,0.83735,0.79583,0.85902,0.64064,0.84558,0.68373,1.04929,0.007129,0.007129,0.007129
31,14478.1,0.97232,0.90067,1.16831,0.84603,0.79284,0.86202,0.64299,0.843,0.67899,1.05087,0.00703,0.00703,0.00703
32,14954.8,0.96841,0.89268,1.16354,0.83912,0.78749,0.85738,0.64263,0.82953,0.68507,1.04399,0.006931,0.006931,0.006931
33,15428.5,0.96475,0.89573,1.16523,0.85936,0.77836,0.86152,0.64411,0.83721,0.67799,1.04871,0.006832,0.006832,0.006832
34,15905,0.96377,0.88471,1.16346,0.84766,0.78635,0.86348,0.64788,0.83017,0.67322,1.03998,0.006733,0.006733,0.006733
35,16381.9,0.95886,0.88619,1.1587,0.84811,0.79807,0.86305,0.6513,0.82086,0.67023,1.03626,0.006634,0.006634,0.006634
36,16829.4,0.95013,0.87701,1.15285,0.84772,0.80327,0.86674,0.65428,0.82283,0.6654,1.03506,0.006535,0.006535,0.006535
37,17280.3,0.95389,0.87296,1.15545,0.84737,0.79695,0.86327,0.65261,0.81709,0.66541,1.03398,0.006436,0.006436,0.006436
38,17727.7,0.93927,0.87026,1.15008,0.8378,0.80848,0.86638,0.65477,0.80955,0.659,1.02913,0.006337,0.006337,0.006337
39,18175.6,0.94196,0.86033,1.1523,0.8555,0.80067,0.87058,0.65589,0.81129,0.65427,1.03049,0.006238,0.006238,0.006238
40,18623.3,0.93585,0.85242,1.14294,0.86113,0.79559,0.87152,0.65674,0.81206,0.65374,1.03228,0.006139,0.006139,0.006139
41,19072.6,0.92984,0.8479,1.13787,0.84309,0.80402,0.87252,0.65962,0.80898,0.65439,1.02949,0.00604,0.00604,0.00604
42,19518.7,0.93137,0.8434,1.14119,0.83958,0.8122,0.87357,0.65931,0.8109,0.65177,1.02915,0.005941,0.005941,0.005941
43,19965.7,0.92827,0.84364,1.13818,0.84255,0.80794,0.87364,0.66045,0.80862,0.64401,1.02677,0.005842,0.005842,0.005842
44,20411.5,0.92562,0.84152,1.13527,0.85592,0.79955,0.87357,0.66123,0.80749,0.64511,1.02592,0.005743,0.005743,0.005743
45,20862.2,0.923,0.83741,1.13272,0.84528,0.80736,0.8742,0.66205,0.80564,0.64599,1.02466,0.005644,0.005644,0.005644
46,21309,0.91241,0.82187,1.129,0.84878,0.81198,0.87544,0.66499,0.80154,0.64201,1.02057,0.005545,0.005545,0.005545
47,21753.6,0.91067,0.81554,1.12802,0.85288,0.81059,0.8766,0.6658,0.79963,0.64103,1.01828,0.005446,0.005446,0.005446
48,22197.1,0.9112,0.82888,1.1303,0.84676,0.8158,0.87598,0.66519,0.79919,0.63848,1.01888,0.005347,0.005347,0.005347
49,22640.2,0.89983,0.81632,1.12446,0.85082,0.81022,0.87636,0.66715,0.79728,0.63689,1.02009,0.005248,0.005248,0.005248
50,23090.8,0.89891,0.80636,1.12232,0.85308,0.80978,0.87674,0.66784,0.79444,0.63237,1.01865,0.005149,0.005149,0.005149
51,23536.6,0.8983,0.80753,1.12142,0.84986,0.81108,0.87691,0.66875,0.79368,0.62774,1.01658,0.00505,0.00505,0.00505
52,23983.5,0.89371,0.80698,1.11983,0.85395,0.80922,0.87765,0.66817,0.79353,0.62523,1.01625,0.004951,0.004951,0.004951
53,24433.5,0.89465,0.79662,1.12022,0.85895,0.80513,0.87851,0.66847,0.79371,0.62418,1.0167,0.004852,0.004852,0.004852
54,24890.3,0.88889,0.7966,1.11471,0.85007,0.81387,0.8796,0.6687,0.79405,0.62315,1.01614,0.004753,0.004753,0.004753
55,25337.9,0.88687,0.79282,1.11545,0.84537,0.82001,0.87995,0.67076,0.79321,0.61942,1.01455,0.004654,0.004654,0.004654
56,25786.1,0.88549,0.79014,1.11217,0.85744,0.81194,0.8799,0.67175,0.79193,0.61762,1.01492,0.004555,0.004555,0.004555
57,26235.2,0.87985,0.78962,1.1106,0.85896,0.81307,0.88016,0.67161,0.79014,0.61737,1.01323,0.004456,0.004456,0.004456
58,26683.4,0.87823,0.7809,1.10388,0.84825,0.81629,0.87996,0.67107,0.78978,0.61658,1.01397,0.004357,0.004357,0.004357
59,27127,0.87436,0.78271,1.1078,0.85564,0.81183,0.88076,0.67071,0.7882,0.61643,1.01334,0.004258,0.004258,0.004258
60,27582.1,0.86723,0.7673,1.10402,0.84435,0.81703,0.8802,0.67194,0.7885,0.61708,1.01415,0.004159,0.004159,0.004159
61,28029.4,0.86126,0.76361,1.09889,0.84621,0.81926,0.88011,0.6721,0.78809,0.61648,1.01396,0.00406,0.00406,0.00406
62,28472.7,0.86688,0.7678,1.10232,0.84653,0.81926,0.87992,0.67247,0.78726,0.61665,1.01402,0.003961,0.003961,0.003961
63,28919.6,0.85773,0.75646,1.10012,0.84803,0.81703,0.88068,0.67208,0.78727,0.61653,1.01436,0.003862,0.003862,0.003862
64,29365.4,0.86224,0.7607,1.09526,0.85017,0.81452,0.88029,0.67183,0.78698,0.61538,1.01482,0.003763,0.003763,0.003763
65,29813.9,0.85461,0.75072,1.09272,0.84643,0.81989,0.88023,0.67168,0.78649,0.61453,1.01483,0.003664,0.003664,0.003664
66,30261.1,0.84657,0.74533,1.09056,0.84666,0.82075,0.88025,0.67256,0.78657,0.61313,1.01502,0.003565,0.003565,0.003565
67,30707,0.84644,0.74867,1.08894,0.84726,0.82224,0.88102,0.67224,0.78659,0.61278,1.01558,0.003466,0.003466,0.003466
68,31155.5,0.84047,0.73611,1.08567,0.84828,0.82337,0.88169,0.67252,0.78635,0.61263,1.01588,0.003367,0.003367,0.003367
69,31598.6,0.83955,0.73542,1.08422,0.85076,0.8241,0.88204,0.67298,0.7861,0.61206,1.01567,0.003268,0.003268,0.003268
70,32051.2,0.83943,0.72998,1.08207,0.84459,0.82459,0.88173,0.67335,0.7857,0.61153,1.0155,0.003169,0.003169,0.003169
71,32499.3,0.83718,0.72554,1.08308,0.85398,0.81926,0.88216,0.67415,0.78534,0.61106,1.01535,0.00307,0.00307,0.00307
72,32945.7,0.83218,0.72573,1.07968,0.85486,0.81852,0.88246,0.67371,0.78486,0.6105,1.01506,0.002971,0.002971,0.002971
73,33382.4,0.82353,0.71708,1.0758,0.85695,0.81778,0.88246,0.67383,0.78449,0.60978,1.01461,0.002872,0.002872,0.002872
74,33817.2,0.82212,0.71727,1.07627,0.8563,0.81554,0.88223,0.67439,0.78453,0.60903,1.01479,0.002773,0.002773,0.002773
75,34255.9,0.81923,0.71188,1.07697,0.85527,0.81754,0.88259,0.6745,0.78421,0.60816,1.01466,0.002674,0.002674,0.002674
76,34688.5,0.81004,0.70055,1.06991,0.85221,0.82133,0.88281,0.67513,0.7843,0.60814,1.01464,0.002575,0.002575,0.002575
77,35123,0.81066,0.70047,1.07047,0.85255,0.82149,0.88336,0.67494,0.78403,0.60787,1.01456,0.002476,0.002476,0.002476
78,35556.2,0.81111,0.69928,1.06824,0.85837,0.81592,0.88355,0.67504,0.78374,0.60743,1.01426,0.002377,0.002377,0.002377
79,35997.5,0.8077,0.69633,1.06797,0.85813,0.81666,0.8841,0.6751,0.78361,0.60721,1.01434,0.002278,0.002278,0.002278
80,36461.5,0.80499,0.69658,1.06718,0.85687,0.81705,0.88396,0.67497,0.7832,0.60649,1.01393,0.002179,0.002179,0.002179
81,36922.1,0.7994,0.68679,1.06191,0.85579,0.81926,0.8842,0.67536,0.78263,0.6066,1.01333,0.00208,0.00208,0.00208
82,37360.1,0.80011,0.68444,1.06295,0.85398,0.82001,0.88419,0.67623,0.78221,0.60601,1.01299,0.001981,0.001981,0.001981
83,37795.7,0.79826,0.68288,1.06253,0.85402,0.82038,0.88413,0.6761,0.78189,0.60579,1.01287,0.001882,0.001882,0.001882
84,38227.9,0.79366,0.67652,1.05976,0.85473,0.82075,0.88417,0.67611,0.78204,0.60559,1.01316,0.001783,0.001783,0.001783
85,38666.5,0.78715,0.67166,1.05416,0.85525,0.82176,0.88445,0.67604,0.78162,0.60519,1.01253,0.001684,0.001684,0.001684
86,39105.4,0.77989,0.66432,1.05328,0.85532,0.82187,0.88462,0.67615,0.78172,0.60487,1.01249,0.001585,0.001585,0.001585
87,39548.2,0.78435,0.66565,1.05492,0.85719,0.81926,0.88457,0.67663,0.78177,0.6047,1.01243,0.001486,0.001486,0.001486
88,40011.5,0.77831,0.65597,1.05165,0.85531,0.82149,0.88484,0.67705,0.78174,0.60431,1.0124,0.001387,0.001387,0.001387
89,40470.3,0.77633,0.65578,1.05052,0.85562,0.82202,0.8846,0.67707,0.78208,0.6044,1.01293,0.001288,0.001288,0.001288
90,40920.4,0.77407,0.65085,1.04996,0.85609,0.82298,0.8857,0.67752,0.7826,0.60342,1.01333,0.001189,0.001189,0.001189
